model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,separation_rule,time,seed,tree_size
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.004419684999902529,81,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003909204000137834,100,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038371779999124556,158,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038199539999368426,216,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038210939999316906,245,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038200230001166346,359,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037974599999870406,366,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037915890000022046,470,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003842562000045291,560,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037664550000044983,578,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038157449998834636,580,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038248650000696216,597,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038745610002024478,661,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038716930000646244,689,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003811418999930538,692,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038215409999793337,783,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038324900001498463,818,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003790207000065493,879,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003794492999986687,930,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037829640000381914,968,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037915309999334568,995,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003850624000051539,1004,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003822416000048179,1005,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003815510000094946,1190,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038215229999423173,1205,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003803364999839687,1257,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038408110001455498,1320,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038857399999869813,1534,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037779369999952905,1541,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038107320001472544,1596,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037975059999553196,1607,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037688540000999637,1665,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038012939999134687,1836,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003801026000019192,1989,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037872210000386985,2015,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038161830000262853,2143,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003807370999993509,2147,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037783620000482188,2199,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038259339999058284,2221,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003825025999958598,2263,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003815692999978637,2283,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003831149000006917,2365,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003795845000013287,2370,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003804450999950859,2408,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038022109999928944,2495,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038172889999259496,2528,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037820180000380788,2554,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003892754999924364,2558,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003822855999942476,2561,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037941000000500935,2588,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003788721000091755,2610,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003811527000152637,2619,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037982950000241544,2679,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038425699999606877,2773,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038236509999478585,2816,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0038172049999047886,2950,147
