model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,separation_rule,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.004177317000085168
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004257014999893727
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004635943000039333
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004215272000010373
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004232525999896097
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004650211000125637
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.0042202320000797044
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004236687000002348
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004683022999870445
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0035563679998631414
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004574021000053108
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004233969000097204
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004198996000013722
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004608231000020169
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0036073229998692113
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.00459095599990178
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.00422664600000644
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004225688999895283
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004582910999943124
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.003609547999985807
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.00463073500009159
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004254058000014993
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004344888000105129
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004620204000048034
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0035910650001369504
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004632457999832695
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004227796000122908
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004227184999990641
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004614144000015585
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0036007129999688914
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.0046260859999165405
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.00424830099996143
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004196828999965874
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004608137999866813
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.003578492000087863
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004603833000146551
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004250546999855942
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.0041827850000117905
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004594972999939273
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0035793440001725685
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004585712000107378
