model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,seperation_rule,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22374,121976,Nothing,SepSeq,0.06460185200194246
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121974,Nothing,SepSeq,0.06234602900076425
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22379,121991,Nothing,SepSeq,0.061741299999994226
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22391,122040,Nothing,SepSeq,0.061995610001758905
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121976,Nothing,SepSeq,0.06100970999978017
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22377,121988,Nothing,SepSeq,0.06138834599914844
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22376,121983,Nothing,SepSeq,0.06183875500209979
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22383,122010,Nothing,SepSeq,0.06058853700233158
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22374,121975,Nothing,SepSeq,0.061665501998504624
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22374,121975,Nothing,SepSeq,0.06427909400008502
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22390,122035,Nothing,SepSeq,0.06115095399945858
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22378,121992,Nothing,SepSeq,0.06172954199792002
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121976,Nothing,SepSeq,0.0617965630008257
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,147,480,22375,121980,Nothing,SepSeq,0.06127998499869136
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22384,122014,Nothing,SepSeq,0.06027637999795843
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22374,121975,Nothing,SepSeq,0.06487385299988091
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,478,22377,121985,Nothing,SepSeq,0.061053698998875916
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22385,122017,Nothing,SepSeq,0.0617338820011355
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22375,121980,Nothing,SepSeq,0.0638720619972446
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,478,22376,121983,Nothing,SepSeq,0.06922441699862247
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22375,121979,Nothing,SepSeq,0.07198962899929029
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22377,121986,Nothing,SepSeq,0.0698254029994132
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22378,121989,Nothing,SepSeq,0.06940541400035727
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121976,Nothing,SepSeq,0.07060490600269986
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,144,471,22387,122025,Nothing,SepSeq,0.07165845099734724
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,144,471,22374,121975,Nothing,SepSeq,0.07086134799828869
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,147,480,22376,121984,Nothing,SepSeq,0.07160299500174006
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,147,480,22374,121976,Nothing,SepSeq,0.06963144600013038
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,478,22375,121981,Nothing,SepSeq,0.0698526470005163
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22374,121976,Nothing,SepSeq,0.0708651610002562
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22378,121990,Nothing,SepSeq,0.07087592700190726
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22381,122002,Nothing,SepSeq,0.06351726499997312
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22377,121986,Nothing,SepSeq,0.0749405589995149
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22388,122032,Nothing,SepSeq,0.06881871800214867
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22380,121999,Nothing,SepSeq,0.06314464200113434
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121976,Nothing,SepSeq,0.07741246200021124
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22381,122001,Nothing,SepSeq,0.07538814099825686
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,478,22374,121975,Nothing,SepSeq,0.06881122900085757
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22379,121995,Nothing,SepSeq,0.08125988699976006
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121974,Nothing,SepSeq,0.06759065200094483
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22383,122011,Nothing,SepSeq,0.06806918900110759
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121974,Nothing,SepSeq,0.06390060500052641
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22375,121978,Nothing,SepSeq,0.07808449499862036
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22384,122016,Nothing,SepSeq,0.07644793000145
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22377,121986,Nothing,SepSeq,0.06997858500108123
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22375,121978,Nothing,SepSeq,0.07005826000022353
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,147,480,22375,121980,Nothing,SepSeq,0.07044717600001604
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22377,121986,Nothing,SepSeq,0.07168360799914808
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121974,Nothing,SepSeq,0.07137336100277025
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22379,121996,Nothing,SepSeq,0.07193807800285867
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22376,121982,Nothing,SepSeq,0.07356155999877956
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22380,121999,Nothing,SepSeq,0.0850852549992851
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22376,121983,Nothing,SepSeq,0.07673360099943238
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,478,22375,121981,Nothing,SepSeq,0.07102867199864704
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121976,Nothing,SepSeq,0.062459054999635555
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22377,121987,Nothing,SepSeq,0.06137293299980229
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22378,121990,Nothing,SepSeq,0.06523927599846502
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22378,121989,Nothing,SepSeq,0.0753590370004531
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22382,122008,Nothing,SepSeq,0.07777695400000084
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22376,121984,Nothing,SepSeq,0.0708382500015432
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121974,Nothing,SepSeq,0.06761666600141325
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22376,121982,Nothing,SepSeq,0.07231223700000555
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,147,480,22375,121980,Nothing,SepSeq,0.08086900399939623
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,478,22374,121977,Nothing,SepSeq,0.06897198200022103
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22375,121978,Nothing,SepSeq,0.062355908998142695
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22374,121975,Nothing,SepSeq,0.06616493200272089
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121976,Nothing,SepSeq,0.06215294700086815
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22390,122038,Nothing,SepSeq,0.07180785500167985
