model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,seperation_rule,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,140,455,22376,121982,Nothing,SepSeq,0.12925201299367473
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,144,470,22374,121974,Nothing,SepSeq,0.1362429660075577
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,451,22375,121980,Nothing,SepSeq,0.13137668299896177
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,476,22376,121984,Nothing,SepSeq,0.13197273800324183
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,137,449,22376,121984,Nothing,SepSeq,0.14609230299538467
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,454,22377,121986,Nothing,SepSeq,0.13620168600755278
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,135,437,22374,121976,Nothing,SepSeq,0.13958270699367858
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,142,463,22374,121976,Nothing,SepSeq,0.14142828900367022
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,132,427,22374,121975,Nothing,SepSeq,0.13293921599688474
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,137,452,22381,122002,Nothing,SepSeq,0.13657568499911577
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,452,22375,121979,Nothing,SepSeq,0.13836828801140655
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,136,444,22374,121974,Nothing,SepSeq,0.14271721401019022
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,137,454,22381,122003,Nothing,SepSeq,0.1527828789985506
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,137,446,22375,121980,Nothing,SepSeq,0.14253030900727026
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,139,457,22374,121974,Nothing,SepSeq,0.14283631098805927
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,142,464,22375,121980,Nothing,SepSeq,0.14006198800052516
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,134,439,22377,121988,Nothing,SepSeq,0.12477976200170815
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,458,22379,121994,Nothing,SepSeq,0.13773490699531976
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,140,463,22379,121995,Nothing,SepSeq,0.12811177301045973
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,140,458,22376,121983,Nothing,SepSeq,0.11952838199795224
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,135,447,22381,122003,Nothing,SepSeq,0.12936210799671244
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,135,448,22380,122000,Nothing,SepSeq,0.12395859599928372
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,127,421,22384,122016,Nothing,SepSeq,0.11936514000990428
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,140,462,22380,122000,Nothing,SepSeq,0.12694559500960167
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,143,465,22375,121980,Nothing,SepSeq,0.1197734839952318
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,142,465,22374,121974,Nothing,SepSeq,0.12671597900043707
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,128,423,22379,121994,Nothing,SepSeq,0.12570462700386997
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,455,22381,122003,Nothing,SepSeq,0.13019628899928648
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,140,456,22374,121975,Nothing,SepSeq,0.11937030899571255
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,134,446,22382,122007,Nothing,SepSeq,0.12647361800190993
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,136,448,22378,121991,Nothing,SepSeq,0.1207917560095666
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,135,437,22374,121976,Nothing,SepSeq,0.12126381199050229
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,132,440,22388,122031,Nothing,SepSeq,0.12086995699792169
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,135,436,22377,121987,Nothing,SepSeq,0.12024058600945864
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,140,463,22382,122005,Nothing,SepSeq,0.13858138500654604
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,136,454,22384,122015,Nothing,SepSeq,0.11677555200003553
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,139,462,22382,122006,Nothing,SepSeq,0.12005822999344673
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,458,22379,121995,Nothing,SepSeq,0.11688315100036561
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,452,22375,121978,Nothing,SepSeq,0.12083640600030776
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,127,423,22391,122043,Nothing,SepSeq,0.1168368350045057
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,130,429,22379,121995,Nothing,SepSeq,0.12162559598800726
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,132,425,22374,121975,Nothing,SepSeq,0.12044356900150888
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,143,469,22374,121976,Nothing,SepSeq,0.12093274599465076
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22374,121975,Nothing,SepSeq,0.12077349200262688
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,123,376,22375,121978,Nothing,SepSeq,0.12097326801449526
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,133,447,22391,122043,Nothing,SepSeq,0.12214978400152177
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,141,460,22375,121979,Nothing,SepSeq,0.12061011399782728
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,142,467,22378,121990,Nothing,SepSeq,0.12069804899510927
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,455,22380,122000,Nothing,SepSeq,0.12169367799651809
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,136,448,22379,121996,Nothing,SepSeq,0.12311112201132346
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,129,414,22376,121984,Nothing,SepSeq,0.12092922200099565
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,137,449,22374,121975,Nothing,SepSeq,0.12189164001028985
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,130,423,22378,121989,Nothing,SepSeq,0.12144958600401878
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,130,422,22376,121984,Nothing,SepSeq,0.12149042999953963
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,133,440,22381,122003,Nothing,SepSeq,0.1207854810054414
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,137,453,22385,122018,Nothing,SepSeq,0.12307817800319754
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,128,418,22379,121994,Nothing,SepSeq,0.12234261599951424
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,139,455,22376,121982,Nothing,SepSeq,0.1215150049974909
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,456,22378,121990,Nothing,SepSeq,0.12122784000530373
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,128,422,22380,122001,Nothing,SepSeq,0.12285345900454558
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,140,461,22377,121987,Nothing,SepSeq,0.12110445799771696
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,142,466,22376,121982,Nothing,SepSeq,0.1211502320074942
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,116,357,22378,121990,Nothing,SepSeq,0.12365178699837998
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,125,403,22379,121995,Nothing,SepSeq,0.12184238599729724
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,139,459,22379,121994,Nothing,SepSeq,0.12049724800453987
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,132,428,22375,121980,Nothing,SepSeq,0.12202356399211567
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,134,437,22377,121988,Nothing,SepSeq,0.12046669999836013
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,143,470,22376,121984,Nothing,SepSeq,0.12006990100780968
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121974,Nothing,SepSeq,0.11996644199825823
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,136,442,22376,121982,Nothing,SepSeq,0.12064121400180738
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,141,465,22378,121993,Nothing,SepSeq,0.12143325500073843
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,129,396,22375,121979,Nothing,SepSeq,0.11979419899580535
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,139,458,22379,121994,Nothing,SepSeq,0.12105712899938226
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,143,467,22375,121979,Nothing,SepSeq,0.12082964000001084
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,452,22375,121979,Nothing,SepSeq,0.12146345400833525
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,141,459,22374,121975,Nothing,SepSeq,0.12083699800132308
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,140,461,22377,121987,Nothing,SepSeq,0.12084724400483537
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,138,448,22374,121974,Nothing,SepSeq,0.12137432099552825
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,142,467,22376,121984,Nothing,SepSeq,0.12257105599564966
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,121,384,22375,121978,Nothing,SepSeq,0.1232112579891691
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,140,453,22374,121975,Nothing,SepSeq,0.12269095098599792
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,136,444,22376,121982,Nothing,SepSeq,0.12099018800654449
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,129,416,22374,121975,Nothing,SepSeq,0.1205004520015791
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,121,399,22386,122022,Nothing,SepSeq,0.11958009100635536
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,141,466,22376,121983,Nothing,SepSeq,0.11933751200558618
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,132,436,22381,122002,Nothing,SepSeq,0.11684047199378256
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,131,426,22374,121974,Nothing,SepSeq,0.12068863099557348
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,124,412,22384,122011,Nothing,SepSeq,0.11671032800222747
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,127,396,22378,121990,Nothing,SepSeq,0.12076452000474092
