model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0013165519922040403
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009697669884189963
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009440339636057615
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009166970266960561
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009463689639233053
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.000907308014575392
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009062699973583221
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009125149808824062
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.000937459000851959
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009079569717869163
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009442919981665909
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009207479888573289
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009826109744608402
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.000929019006434828
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009073260007426143
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009019330027513206
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0008983970037661493
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009249550057575107
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009674159809947014
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009538520243950188
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009277219651266932
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009054330294020474
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.000906669010873884
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009296290227212012
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009304420091211796
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009042630554176867
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009128620149567723
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.00092523597413674
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0008935780497267842
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009003599989227951
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009025690378621221
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009606630192138255
ASN_learnresult_SecureCode Aut_fix,4,14,56,0,798,2758,0,0,0.0009243040112778544
