model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_queries,learn_steps,test_queries,test_steps,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.37916295099421404
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.4255590469983872
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.4108480300055817
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.41376020899042487
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.40713529600179754
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.393155347002903
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3625280139967799
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3606015380064491
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36279063500114717
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36512025599949993
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3668234520009719
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3593786979909055
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36259549600072205
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36072644899832085
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3594228230067529
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3649722940172069
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36449267002171837
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3639666390081402
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36267785500967875
