model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_steps,learn_resets,test_steps,test_resets,extension_rule,separation_rule,time
LoesTarget,6,3,18,4,198,51,2830,461,ADS,ADS,0.34400
LoesTarget,6,3,18,3,202,52,2533,405,ADS,ADS,0.03100
LoesTarget,6,3,18,5,150,40,2842,459,ADS,ADS,0.02900
LoesTarget,6,3,18,4,187,49,2765,447,ADS,ADS,0.02900
LoesTarget,6,3,18,4,195,50,2841,458,ADS,ADS,0.01900
LoesTarget,6,3,18,5,172,45,2845,460,ADS,ADS,0.01700
LoesTarget,6,3,18,3,202,52,2587,419,ADS,ADS,0.01900
LoesTarget,6,3,18,5,150,40,2867,468,ADS,ADS,0.02100
LoesTarget,6,3,18,5,184,46,2879,468,ADS,ADS,0.02300
LoesTarget,6,3,18,5,168,45,2858,462,ADS,ADS,0.01600
LoesTarget,6,3,18,4,162,45,2827,459,ADS,ADS,0.01100
LoesTarget,6,3,18,4,185,48,2832,461,ADS,ADS,0.01000
LoesTarget,6,3,18,5,152,40,2862,463,ADS,ADS,0.00900
LoesTarget,6,3,18,4,201,52,2837,459,ADS,ADS,0.01400
LoesTarget,6,3,18,5,162,42,2881,468,ADS,ADS,0.01600
LoesTarget,6,3,18,5,160,42,2764,444,ADS,ADS,0.01500
LoesTarget,6,3,18,5,177,45,2784,447,ADS,ADS,0.01000
LoesTarget,6,3,18,5,176,45,2806,453,ADS,ADS,0.01100
LoesTarget,6,3,18,5,173,46,2901,469,ADS,ADS,0.00900
LoesTarget,6,3,18,5,186,48,2825,454,ADS,ADS,0.00900
LoesTarget,6,3,18,4,163,44,2897,472,ADS,ADS,0.00700
LoesTarget,6,3,18,5,161,42,2857,463,ADS,ADS,0.00900
LoesTarget,6,3,18,5,183,47,2896,465,ADS,ADS,0.01100
LoesTarget,6,3,18,5,175,46,2868,465,ADS,ADS,0.00800
LoesTarget,6,3,18,4,159,45,2875,466,ADS,ADS,0.00800
LoesTarget,6,3,18,5,151,40,2887,469,ADS,ADS,0.01100
LoesTarget,6,3,18,5,152,42,2790,450,ADS,ADS,0.01100
LoesTarget,6,3,18,5,163,45,2879,469,ADS,ADS,0.00900
LoesTarget,6,3,18,5,195,48,2858,461,ADS,ADS,0.00800
LoesTarget,6,3,18,5,174,44,2846,463,ADS,ADS,0.00600
LoesTarget,6,3,18,5,159,44,2802,453,ADS,ADS,0.00600
LoesTarget,6,3,18,5,176,46,2939,480,ADS,ADS,0.01000
LoesTarget,6,3,18,5,173,46,2880,467,ADS,ADS,0.01000
LoesTarget,6,3,18,5,142,39,2846,461,ADS,ADS,0.00700
LoesTarget,6,3,18,5,175,46,2872,464,ADS,ADS,0.01100
LoesTarget,6,3,18,5,174,46,2959,481,ADS,ADS,0.00900
LoesTarget,6,3,18,5,180,46,2790,453,ADS,ADS,0.01100
LoesTarget,6,3,18,5,163,44,2916,471,ADS,ADS,0.01200
LoesTarget,6,3,18,5,195,49,2881,469,ADS,ADS,0.01000
LoesTarget,6,3,18,5,140,39,2862,461,ADS,ADS,0.00900
LoesTarget,6,3,18,5,177,45,2897,472,ADS,ADS,0.01100
LoesTarget,6,3,18,5,155,44,2839,461,ADS,ADS,0.00900
LoesTarget,6,3,18,5,146,41,2909,474,ADS,ADS,0.00600
LoesTarget,6,3,18,5,142,39,2804,452,ADS,ADS,0.00600
LoesTarget,6,3,18,5,174,45,2793,450,ADS,ADS,0.00500
LoesTarget,6,3,18,5,176,46,2856,459,ADS,ADS,0.00600
LoesTarget,6,3,18,5,164,43,2761,445,ADS,ADS,0.00500
LoesTarget,6,3,18,4,168,45,2817,458,ADS,ADS,0.00600
LoesTarget,6,3,18,5,170,45,2938,476,ADS,ADS,0.00600
LoesTarget,6,3,18,5,162,43,2858,462,ADS,ADS,0.00400
LoesTarget,6,3,18,4,198,51,2810,455,ADS,ADS,0.00500
LoesTarget,6,3,18,5,160,42,2889,468,ADS,ADS,0.00400
LoesTarget,6,3,18,4,196,49,2774,445,ADS,ADS,0.00700
LoesTarget,6,3,18,4,207,53,2817,454,ADS,ADS,0.00600
LoesTarget,6,3,18,5,193,48,2869,465,ADS,ADS,0.00600
LoesTarget,6,3,18,5,150,41,2915,473,ADS,ADS,0.00500
LoesTarget,6,3,18,5,173,44,2824,459,ADS,ADS,0.00600
LoesTarget,6,3,18,4,165,46,2793,453,ADS,ADS,0.00300
LoesTarget,6,3,18,4,157,44,2852,462,ADS,ADS,0.00400
LoesTarget,6,3,18,5,177,45,2810,455,ADS,ADS,0.00400
LoesTarget,6,3,18,5,177,45,2851,464,ADS,ADS,0.00500
LoesTarget,6,3,18,5,166,44,2847,463,ADS,ADS,0.00600
LoesTarget,6,3,18,5,171,43,2849,463,ADS,ADS,0.00600
LoesTarget,6,3,18,5,175,44,2915,473,ADS,ADS,0.00500
LoesTarget,6,3,18,3,179,48,2575,413,ADS,ADS,0.00400
LoesTarget,6,3,18,5,152,41,2889,467,ADS,ADS,0.00400
LoesTarget,6,3,18,5,174,45,2798,452,ADS,ADS,0.00400
LoesTarget,6,3,18,4,168,45,2739,441,ADS,ADS,0.00400
LoesTarget,6,3,18,5,181,47,2878,466,ADS,ADS,0.00700
LoesTarget,6,3,18,5,189,49,2816,457,ADS,ADS,0.00600
LoesTarget,6,3,18,4,171,46,2853,462,ADS,ADS,0.00600
LoesTarget,6,3,18,5,180,46,2935,475,ADS,ADS,0.00400
LoesTarget,6,3,18,5,173,45,2817,454,ADS,ADS,0.00400
LoesTarget,6,3,18,5,170,45,2841,463,ADS,ADS,0.00400
LoesTarget,6,3,18,4,203,52,2797,452,ADS,ADS,0.00400
